Lasse Blaauwbroek, David M. Cerna, Thibault Gauthier, Jan Jakubuv, Cezary Kaliszyk, Martin Suda, Josef Urban 	 Learning Guided Automated Reasoning: A Brief Survey. 	 2024 	 AR, FM 	 https://doi.org/10.48550/arXiv.2403.04017 	 arXiv CoRR abs/2403.04017 (2024).
Kimberley Parsons Trommler, Matthias Hafner, Wolfgang Kellerer, Peter Merz, Sigurd Schuster, Josef Urban, Uwe Baeder, Bertram Gunzelmann, Andreas Kornbichler 	 Six Questions about 6G. 	 2022 	 AR 	 https://arxiv.org/abs/2201.12266 	 arXiv CoRR abs/2201.12266 (2022).
Kimberley Parsons Trommler, Matthias Hafner, Wolfgang Kellerer, Peter Merz, Sigurd Schuster, Josef Urban, Uwe Baeder, Bertram Gunzelmann, Andreas Kornbichler 	 PREVIEW VERSION: Six Insights into 6G: Orientation and Input for Developing Your Strategic 6G Research Plan. 	 2022 	 AR 	 https://doi.org/10.48550/arXiv.2203.13094 	 arXiv CoRR abs/2203.13094 (2022).
Zarathustra Amadeus Goertzel, Jan Jakubuv, Cezary Kaliszyk, Miroslav Olsák, Jelle Piepenbrock, Josef Urban 	 The Isabelle ENIGMA. 	 2022 	 AR, FM 	 https://doi.org/10.48550/arXiv.2205.01981 	 arXiv CoRR abs/2205.01981 (2022).
Jelle Piepenbrock, Josef Urban, Konstantin Korovin, Miroslav Olsák, Tom Heskes, Mikolas Janota 	 Machine Learning Meets The Herbrand Universe. 	 2022 	 AR, FM 	 https://doi.org/10.48550/arXiv.2210.03590 	 arXiv CoRR abs/2210.03590 (2022).
Thibault Gauthier, Cezary Kaliszyk, Josef Urban, Ramana Kumar, Michael Norrish 	 TacticToe: Learning to Prove with Tactics. 	 2021 	 AR 	 https://www.wikidata.org/entity/Q108482100 	 J. Autom. Reason. 65: 257-286 (2021).
Michael Färber, Cezary Kaliszyk, Josef Urban 	 Machine Learning Guidance for Connection Tableaux. 	 2021 	 AR 	 https://www.wikidata.org/entity/Q108482096 	 J. Autom. Reason. 65: 287-320 (2021).
Zarathustra Amadeus Goertzel, Karel Chvalovský, Jan Jakubuv, Miroslav Olsák, Josef Urban 	 Fast and Slow Enigmas and Parental Guidance. 	 2021 	 AR, FM 	 https://doi.org/10.1007/978-3-030-86205-3_10 	 Frontiers of Combining Systems - 13th International Symposium, FroCoS 2021, Birmingham, UK, September 8-10, 2021, Proceedings: 173-191 (2021).
Liao Zhang, Lasse Blaauwbroek, Bartosz Piotrowski, Prokop Cerný, Cezary Kaliszyk, Josef Urban 	 Online Machine Learning Techniques for Coq: A Comparison. 	 2021 	 AR, FM 	 https://doi.org/10.1007/978-3-030-81097-9_5 	 Intelligent Computer Mathematics - 14th International Conference, CICM 2021, Timisoara, Romania, July 26-31, 2021, Proceedings: 67-83 (2021).
Jaroslav Macke, Jirí Sedlár, Miroslav Olsák, Josef Urban, Josef Sivic 	 Learning to Solve Geometric Construction Problems from Images. 	 2021 	 AR 	 https://doi.org/10.1007/978-3-030-81097-9_14 	 Intelligent Computer Mathematics - 14th International Conference, CICM 2021, Timisoara, Romania, July 26-31, 2021, Proceedings: 167-184 (2021).
Zsolt Zombori, Adrián Csiszárik, Henryk Michalewski, Cezary Kaliszyk, Josef Urban 	 Towards Finding Longer Proofs. 	 2021 	 AR 	 https://doi.org/10.1007/978-3-030-86059-2_10 	 Automated Reasoning with Analytic Tableaux and Related Methods - 30th International Conference, TABLEAUX 2021, Birmingham, UK, September 6-9, 2021, Proceedings: 167-186 (2021).
Zsolt Zombori, Josef Urban, Miroslav Olsák 	 The Role of Entropy in Guiding a Connection Prover. 	 2021 	 AR 	 https://doi.org/10.1007/978-3-030-86059-2_13 	 Automated Reasoning with Analytic Tableaux and Related Methods - 30th International Conference, TABLEAUX 2021, Birmingham, UK, September 6-9, 2021, Proceedings: 218-235 (2021).
Karel Chvalovský, Jan Jakubuv, Miroslav Olsák, Josef Urban 	 Learning Theorem Proving Components. 	 2021 	 AR, FM 	 https://doi.org/10.1007/978-3-030-86059-2_16 	 Automated Reasoning with Analytic Tableaux and Related Methods - 30th International Conference, TABLEAUX 2021, Birmingham, UK, September 6-9, 2021, Proceedings: 266-278 (2021).
Jelle Piepenbrock, Tom Heskes, Mikolás Janota, Josef Urban 	 Learning Equational Theorem Proving. 	 2021 	 AR, FM 	 https://arxiv.org/abs/2102.05547 	 arXiv CoRR abs/2102.05547 (2021).
Liao Zhang, Lasse Blaauwbroek, Bartosz Piotrowski, Prokop Cerný, Cezary Kaliszyk, Josef Urban 	 Online Machine Learning Techniques for Coq: A Comparison. 	 2021 	 AR, FM 	 https://arxiv.org/abs/2104.05207 	 arXiv CoRR abs/2104.05207 (2021).
Zsolt Zombori, Josef Urban, Miroslav Olsák 	 The Role of Entropy in Guiding a Connection Prover. 	 2021 	 AR 	 https://arxiv.org/abs/2105.14706 	 arXiv CoRR abs/2105.14706 (2021).
Jaroslav Macke, Jirí Sedlár, Miroslav Olsák, Josef Urban, Josef Sivic 	 Learning to solve geometric construction problems from images. 	 2021 	 AR 	 https://arxiv.org/abs/2106.14195 	 arXiv CoRR abs/2106.14195 (2021).
Zarathustra Amadeus Goertzel, Karel Chvalovský, Jan Jakubuv, Miroslav Olsák, Josef Urban 	 Fast and Slow Enigmas and Parental Guidance. 	 2021 	 AR, FM 	 https://arxiv.org/abs/2107.06750 	 arXiv CoRR abs/2107.06750 (2021).
Karel Chvalovský, Jan Jakubuv, Miroslav Olsák, Josef Urban 	 Learning Theorem Proving Components. 	 2021 	 AR, FM 	 https://arxiv.org/abs/2107.10034 	 arXiv CoRR abs/2107.10034 (2021).
George Labahn, James H. Davenport, Josef Urban 	 Foreword. 	 2020 	 AR 	 https://doi.org/10.1007/s11786-020-00475-z 	 Math. Comput. Sci. 14: 531-532 (2020).
Jan Jakubuv, Karel Chvalovský, Miroslav Olsák, Bartosz Piotrowski, Martin Suda, Josef Urban 	 ENIGMA Anonymous: Symbol-Independent Inference Guiding Machine (System Description). 	 2020 	 AR, FM 	 https://doi.org/10.1007/978-3-030-51054-1_29 	 Automated Reasoning - 10th International Joint Conference, IJCAR 2020, Paris, France, July 1-4, 2020, Proceedings, Part II: 448-463 (2020).
Zsolt Zombori, Josef Urban, Chad E. Brown 	 Prolog Technology Reinforcement Learning Prover - (System Description). 	 2020 	 AR, FM 	 https://doi.org/10.1007/978-3-030-51054-1_33 	 Automated Reasoning - 10th International Joint Conference, IJCAR 2020, Paris, France, July 1-4, 2020, Proceedings, Part II: 489-507 (2020).
Qingxiang Wang, Chad E. Brown, Cezary Kaliszyk, Josef Urban 	 Exploration of neural machine translation in autoformalization of mathematics in Mizar. 	 2020 	 AR, FM 	 https://www.wikidata.org/entity/Q108482103 	 Proceedings of the 9th ACM SIGPLAN International Conference on Certified Programs and Proofs, CPP 2020, New Orleans, LA, USA, January 20-21, 2020.: 85-98 (2020).
Miroslav Olsák, Cezary Kaliszyk, Josef Urban 	 Property Invariant Embedding for Automated Reasoning. 	 2020 	 AR 	 https://doi.org/10.3233/FAIA200244 	 ECAI 2020 - 24th European Conference on Artificial Intelligence, 29 August-8 September 2020, Santiago de Compostela, Spain, August 29 - September 8, 2020 - Including 10th Conference on Prestigious Applications of Artificial Intelligence (PAIS 2020): 1395-1402 (2020).
Lasse Blaauwbroek, Josef Urban, Herman Geuvers 	 Tactic Learning and Proving for the Coq Proof Assistant. 	 2020 	 AR 	 https://doi.org/10.29007/wg1q 	 LPAR 2020: 23rd International Conference on Logic for Programming, Artificial Intelligence and Reasoning, Alicante, Spain, May 22-27, 2020.: 138-150 (2020).
Bartosz Piotrowski, Josef Urban 	 Stateful Premise Selection by Recurrent Neural Networks. 	 2020 	 AR, FM 	 https://doi.org/10.29007/j5hd 	 LPAR 2020: 23rd International Conference on Logic for Programming, Artificial Intelligence and Reasoning, Alicante, Spain, May 22-27, 2020.: 409-422 (2020).
Lasse Blaauwbroek, Josef Urban, Herman Geuvers 	 The Tactician - A Seamless, Interactive Tactic Learner and Prover for Coq. 	 2020 	 AR 	 https://doi.org/10.1007/978-3-030-53518-6_17 	 Intelligent Computer Mathematics - 13th International Conference, CICM 2020, Bertinoro, Italy, July 26-31, 2020, Proceedings: 271-277 (2020).
Bartosz Piotrowski, Josef Urban 	 Guiding Inferences in Connection Tableau by Recurrent Neural Networks. 	 2020 	 AR, FM 	 https://doi.org/10.1007/978-3-030-53518-6_23 	 Intelligent Computer Mathematics - 13th International Conference, CICM 2020, Bertinoro, Italy, July 26-31, 2020, Proceedings: 309-314 (2020).
Josef Urban, Jan Jakubuv 	 First Neural Conjecturing Datasets and Experiments. 	 2020 	 AR, FM 	 https://doi.org/10.1007/978-3-030-53518-6_24 	 Intelligent Computer Mathematics - 13th International Conference, CICM 2020, Bertinoro, Italy, July 26-31, 2020, Proceedings: 315-323 (2020).
Jan Jakubuv, Karel Chvalovský, Miroslav Olsák, Bartosz Piotrowski, Martin Suda, Josef Urban 	 ENIGMA Anonymous: Symbol-Independent Inference Guiding Machine (system description). 	 2020 	 AR, FM 	 https://arxiv.org/abs/2002.05406 	 arXiv CoRR abs/2002.05406 (2020).
Lasse Blaauwbroek, Josef Urban, Herman Geuvers 	 Tactic Learning and Proving for the Coq Proof Assistant. 	 2020 	 AR 	 https://arxiv.org/abs/2003.09140 	 arXiv CoRR abs/2003.09140 (2020).
Zsolt Zombori, Josef Urban, Chad E. Brown 	 Prolog Technology Reinforcement Learning Prover. 	 2020 	 AR, FM 	 https://arxiv.org/abs/2004.06997 	 arXiv CoRR abs/2004.06997 (2020).
Bartosz Piotrowski, Josef Urban 	 Stateful Premise Selection by Recurrent Neural Networks. 	 2020 	 AR, FM 	 https://arxiv.org/abs/2004.08212 	 arXiv CoRR abs/2004.08212 (2020).
Josef Urban, Jan Jakubuv 	 First Neural Conjecturing Datasets and Experiments. 	 2020 	 AR, FM 	 https://arxiv.org/abs/2005.14664 	 arXiv CoRR abs/2005.14664 (2020).
Lasse Blaauwbroek, Josef Urban, Herman Geuvers 	 The Tactician (extended version): A Seamless, Interactive Tactic Learner and Prover for Coq. 	 2020 	 AR 	 https://arxiv.org/abs/2008.00120 	 arXiv CoRR abs/2008.00120 (2020).
Chad E. Brown, Thibault Gauthier, Cezary Kaliszyk, Geoff Sutcliffe, Josef Urban 	 GRUNGE: A Grand Unified ATP Challenge. 	 2019 	 AR, FM 	 https://www.wikidata.org/entity/Q108482114 	 Automated Deduction - CADE 27 - 27th International Conference on Automated Deduction, Natal, Brazil, August 27-30, 2019, Proceedings: 123-141 (2019).
Karel Chvalovský, Jan Jakubuv, Martin Suda, Josef Urban 	 ENIGMA-NG: Efficient Neural and Gradient-Boosted Inference Guidance for E. 	 2019 	 AR, FM 	 https://doi.org/10.1007/978-3-030-29436-6_12 	 Automated Deduction - CADE 27 - 27th International Conference on Automated Deduction, Natal, Brazil, August 27-30, 2019, Proceedings: 197-215 (2019).
Jan Jakubuv, Josef Urban 	 Hammering Mizar by Learning Clause Guidance (Short Paper). 	 2019 	 AR, FM 	 https://doi.org/10.4230/LIPIcs.ITP.2019.34 	 10th International Conference on Interactive Theorem Proving, ITP 2019, September 9-12, 2019, Portland, OR, USA.: 34:1-34:8 (2019).
Zarathustra Amadeus Goertzel, Jan Jakubuv, Josef Urban 	 ENIGMAWatch: ProofWatch Meets ENIGMA. 	 2019 	 AR, FM 	 https://doi.org/10.1007/978-3-030-29026-9_21 	 Automated Reasoning with Analytic Tableaux and Related Methods - 28th International Conference, TABLEAUX 2019, London, UK, September 3-5, 2019, Proceedings: 374-388 (2019).
Chad E. Brown, Thibault Gauthier, Cezary Kaliszyk, Geoff Sutcliffe, Josef Urban 	 GRUNGE: A Grand Unified ATP Challenge. 	 2019 	 AR, FM 	 http://arxiv.org/abs/1903.02539 	 arXiv CoRR abs/1903.02539 (2019).
Karel Chvalovský, Jan Jakubuv, Martin Suda, Josef Urban 	 ENIGMA-NG: Efficient Neural and Gradient-Boosted Inference Guidance for E. 	 2019 	 AR, FM 	 http://arxiv.org/abs/1903.03182 	 arXiv CoRR abs/1903.03182 (2019).
Jan Jakubuv, Josef Urban 	 Hammering Mizar by Learning Clause Guidance. 	 2019 	 AR, FM 	 http://arxiv.org/abs/1904.01677 	 arXiv CoRR abs/1904.01677 (2019).
Bartosz Piotrowski, Josef Urban 	 Guiding Theorem Proving by Recurrent Neural Networks. 	 2019 	 AR, FM 	 http://arxiv.org/abs/1905.07961 	 arXiv CoRR abs/1905.07961 (2019).
Zarathustra Amadeus Goertzel, Jan Jakubuv, Josef Urban 	 ENIGMAWatch: ProofWatch Meets ENIGMA. 	 2019 	 AR, FM 	 http://arxiv.org/abs/1905.09565 	 arXiv CoRR abs/1905.09565 (2019).
Zsolt Zombori, Adrián Csiszárik, Henryk Michalewski, Cezary Kaliszyk, Josef Urban 	 Towards Finding Longer Proofs. 	 2019 	 AR 	 http://arxiv.org/abs/1905.13100 	 arXiv CoRR abs/1905.13100 (2019).
Bartosz Piotrowski, Josef Urban, Chad E. Brown, Cezary Kaliszyk 	 Can Neural Networks Learn Symbolic Rewriting? 	 2019 	 AR, FM 	 http://arxiv.org/abs/1911.04873 	 arXiv CoRR abs/1911.04873 (2019).
Miroslav Olsák, Cezary Kaliszyk, Josef Urban 	 Property Invariant Embedding for Automated Reasoning. 	 2019 	 AR 	 http://arxiv.org/abs/1911.12073 	 arXiv CoRR abs/1911.12073 (2019).
Qingxiang Wang, Chad E. Brown, Cezary Kaliszyk, Josef Urban 	 Exploration of Neural Machine Translation in Autoformalization of Mathematics in Mizar. 	 2019 	 AR, FM 	 http://arxiv.org/abs/1912.02636 	 arXiv CoRR abs/1912.02636 (2019).
Pascal Fontaine, Cezary Kaliszyk, Stephan Schulz, Josef Urban 	 Foreword to the Special Issue on Automated Reasoning. 	 2018 	 AR 	 https://doi.org/10.3233/AIC-180765 	 AI Commun. 31: 235-236 (2018).
Jan Jakubuv, Josef Urban 	 Hierarchical invention of theorem proving strategies. 	 2018 	 AR, FM 	 https://doi.org/10.3233/AIC-180761 	 AI Commun. 31: 237-250 (2018).
Bartosz Piotrowski, Josef Urban 	 ATPboost: Learning Premise Selection in Binary Setting with ATP Feedback. 	 2018 	 AR, FM 	 https://doi.org/10.1007/978-3-319-94205-6_37 	 Automated Reasoning - 9th International Joint Conference, IJCAR 2018, Held as Part of the Federated Logic Conference, FloC 2018, Oxford, UK, July 14-17, 2018, Proceedings: 566-574 (2018).
Zarathustra Amadeus Goertzel, Jan Jakubuv, Stephan Schulz, Josef Urban 	 ProofWatch: Watchlist Guidance for Large Theories in E. 	 2018 	 AR, FM 	 https://doi.org/10.1007/978-3-319-94821-8_16 	 Interactive Theorem Proving - 9th International Conference, ITP 2018, Held as Part of the Federated Logic Conference, FloC 2018, Oxford, UK, July 9-12, 2018, Proceedings: 270-288 (2018).
Zarathustra Amadeus Goertzel, Jan Jakubuv, Josef Urban 	 ProofWatch Meets ENIGMA: First Experiments. 	 2018 	 AR, FM 	 https://doi.org/10.29007/z7qx 	 LPAR-22 Workshop and Short Paper Proceedings, Awassa, Ethiopia, 16-21 November 2018: 15-22 (2018).
Grzegorz Bancerek, Adam Naumowicz, Josef Urban 	 System Description: XSL-Based Translator of Mizar to LaTeX. 	 2018 	 AR 	 https://doi.org/10.1007/978-3-319-96812-4_1 	 Intelligent Computer Mathematics - 11th International Conference, CICM 2018, Hagenberg, Austria, August 13-17, 2018, Proceedings: 1-6 (2018).
Jan Jakubuv, Josef Urban 	 Enhancing ENIGMA Given Clause Guidance. 	 2018 	 AR, FM 	 https://doi.org/10.1007/978-3-319-96812-4_11 	 Intelligent Computer Mathematics - 11th International Conference, CICM 2018, Hagenberg, Austria, August 13-17, 2018, Proceedings: 118-124 (2018).
Qingxiang Wang, Cezary Kaliszyk, Josef Urban 	 First Experiments with Neural Translation of Informal to Formal Mathematics. 	 2018 	 AR 	 https://www.wikidata.org/entity/Q108482117 	 Intelligent Computer Mathematics - 11th International Conference, CICM 2018, Hagenberg, Austria, August 13-17, 2018, Proceedings: 255-270 (2018).
Cezary Kaliszyk, Josef Urban, Henryk Michalewski, Miroslav Olsák 	 Reinforcement Learning of Theorem Proving. 	 2018 	 AR 	 http://papers.nips.cc/paper/8098-reinforcement-learning-of-theorem-proving 	 Advances in Neural Information Processing Systems 31: Annual Conference on Neural Information Processing Systems 2018, NeurIPS 2018, December 3-8, 2018, Montréal, Canada.: 8836-8847 (2018).
Boris Konev, Josef Urban, Philipp Rümmer 	 Proceedings of the 6th Workshop on Practical Aspects of Automated Reasoning co-located with Federated Logic Conference 2018 (FLoC 2018), Oxford, UK, July 19th, 2018. 	 2018 	 AR 	 https://nbn-resolving.org/urn:nbn:de:0074-2162-4 	 CEUR Workshop Proceedings 2162 (2018).
James H. Davenport, Manuel Kauers, George Labahn, Josef Urban 	 Mathematical Software - ICMS 2018 - 6th International Conference, South Bend, IN, USA, July 24-27, 2018, Proceedings 	 2018 	 AR 	 https://doi.org/10.1007/978-3-319-96418-8 	 Lecture Notes in Computer Science 10931 (2018).
Bartosz Piotrowski, Josef Urban 	 ATPboost: Learning Premise Selection in Binary Setting with ATP Feedback. 	 2018 	 AR, FM 	 http://arxiv.org/abs/1802.03375 	 arXiv CoRR abs/1802.03375 (2018).
Zarathustra Amadeus Goertzel, Jan Jakubuv, Stephan Schulz, Josef Urban 	 ProofWatch: Watchlist Guidance for Large Theories in E. 	 2018 	 AR, FM 	 http://arxiv.org/abs/1802.04007 	 arXiv CoRR abs/1802.04007 (2018).
Thibault Gauthier, Cezary Kaliszyk, Josef Urban 	 Learning to Reason with HOL4 tactics. 	 2018 	 AR 	 http://arxiv.org/abs/1804.00595 	 arXiv CoRR abs/1804.00595 (2018).
Thibault Gauthier, Cezary Kaliszyk, Josef Urban, Ramana Kumar, Michael Norrish 	 Learning to Prove with Tactics. 	 2018 	 AR 	 http://arxiv.org/abs/1804.00596 	 arXiv CoRR abs/1804.00596 (2018).
Michael Färber, Cezary Kaliszyk, Josef Urban 	 Machine Learning Guidance and Proof Certification for Connection Tableaux. 	 2018 	 AR 	 http://arxiv.org/abs/1805.03107 	 arXiv CoRR abs/1805.03107 (2018).
Qingxiang Wang, Cezary Kaliszyk, Josef Urban 	 First Experiments with Neural Translation of Informal to Formal Mathematics. 	 2018 	 AR 	 http://arxiv.org/abs/1805.06502 	 arXiv CoRR abs/1805.06502 (2018).
Cezary Kaliszyk, Josef Urban, Henryk Michalewski, Mirek Olsák 	 Reinforcement Learning of Theorem Proving. 	 2018 	 AR 	 http://arxiv.org/abs/1805.07563 	 arXiv CoRR abs/1805.07563 (2018).
Josef Urban 	 AI at CADE/IJCAR. 	 2017 	 AR 	 https://doi.org/10.29007/26gg 	 ARCADE 2017, 1st International Workshop on Automated Reasoning: Challenges, Applications, Directions, Exemplary Achievements, Gothenburg, Sweden, 6th August 2017: 33-36 (2017).
Stephan Schulz, Geoff Sutcliffe, Josef Urban, Adam Pease 	 Detecting Inconsistencies in Large First-Order Knowledge Bases. 	 2017 	 AR 	 https://doi.org/10.1007/978-3-319-63046-5_19 	 Automated Deduction - CADE 26 - 26th International Conference on Automated Deduction, Gothenburg, Sweden, August 6-11, 2017, Proceedings: 310-325 (2017).
Michael Färber, Cezary Kaliszyk, Josef Urban 	 Monte Carlo Tableau Proof Search. 	 2017 	 AR 	 https://www.wikidata.org/entity/Q108482129 	 Automated Deduction - CADE 26 - 26th International Conference on Automated Deduction, Gothenburg, Sweden, August 6-11, 2017, Proceedings: 563-579 (2017).
Jan Jakubuv, Josef Urban 	 BliStrTune: hierarchical invention of theorem proving strategies. 	 2017 	 AR, FM 	 https://www.wikidata.org/entity/Q62044867 	 Proceedings of the 6th ACM SIGPLAN Conference on Certified Programs and Proofs, CPP 2017, Paris, France, January 16-17, 2017: 43-52 (2017).
Jan Jakubuv, Martin Suda, Josef Urban 	 Automated Invention of Strategies and Term Orderings for Vampire. 	 2017 	 AR, FM 	 https://doi.org/10.29007/xghj 	 GCAI 2017, 3rd Global Conference on Artificial Intelligence, Miami, FL, USA, 18-22 October 2017.: 121-133 (2017).
Cezary Kaliszyk, Josef Urban, Jirí Vyskocil 	 Automating Formalization by Statistical and Semantic Parsing of Mathematics. 	 2017 	 AR 	 https://www.wikidata.org/entity/Q108482124 	 Interactive Theorem Proving - 8th International Conference, ITP 2017, Brasília, Brazil, September 26-29, 2017, Proceedings: 12-27 (2017).
Thibault Gauthier, Cezary Kaliszyk, Josef Urban 	 TacticToe: Learning to Reason with HOL4 Tactics. 	 2017 	 AR 	 https://www.wikidata.org/entity/Q108482135 	 LPAR-21, 21st International Conference on Logic for Programming, Artificial Intelligence and Reasoning, Maun, Botswana, May 7-12, 2017: 125-143 (2017).
Jan Jakubuv, Josef Urban 	 ENIGMA: Efficient Learning-Based Inference Guiding Machine. 	 2017 	 AR, FM 	 https://www.wikidata.org/entity/Q62044869 	 Intelligent Computer Mathematics - 10th International Conference, CICM 2017, Edinburgh, UK, July 17-21, 2017, Proceedings: 292-302 (2017).
Cezary Kaliszyk, Josef Urban, Jirí Vyskocil 	 System Description: Statistical Parsing of Informalized Mizar Formulas. 	 2017 	 AR 	 https://doi.ieeecomputersociety.org/10.1109/SYNASC.2017.00036 	 19th International Symposium on Symbolic and Numeric Algorithms for Scientific Computing, SYNASC 2017, Timisoara, Romania, September 21-24, 2017: 169-172 (2017).
Jan Jakubuv, Josef Urban 	 ENIGMA: Efficient Learning-based Inference Guiding Machine. 	 2017 	 AR, FM 	 http://arxiv.org/abs/1701.06532 	 arXiv CoRR abs/1701.06532 (2017).
Geoff Sutcliffe, Josef Urban 	 The CADE-25 Automated Theorem Proving system competition - CASC-25. 	 2016 	 AR 	 https://doi.org/10.3233/AIC-150691 	 AI Commun. 29: 423-433 (2016).
Jasmin Christian Blanchette, David Greenaway, Cezary Kaliszyk, Daniel Kühlwein, Josef Urban 	 A Learning-Based Fact Selector for Isabelle/HOL. 	 2016 	 AR 	 https://www.wikidata.org/entity/Q108482139 	 J. Autom. Reason. 57: 219-244 (2016).
John Harrison, Josef Urban, Freek Wiedijk 	 Preface: Twenty Years of the QED Manifesto. 	 2016 	 AR 	 https://doi.org/10.6092/issn.1972-5787/5974 	 J. Formaliz. Reason. 9: 1-2 (2016).
